time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer
1.01,Utility Enemy 8,Utility,AttackAction,None,1.00,77.4,0
1.01,Utility Enemy 4,Utility,AttackAction,None,1.00,62.9,0
1.01,Utility Enemy 14,Utility,AttackAction,None,1.00,50.6,0
1.01,Utility Enemy 3,Utility,AttackAction,None,1.00,62.9,0
1.51,Player,Player,-,None,1.00,,0
1.51,FSM Enemy 12,FSM,PatrolState,None,1.00,34.7,0
1.51,FSM Enemy 15,FSM,PatrolState,None,1.00,30.3,0
1.51,FSM Enemy 13,FSM,PatrolState,None,1.00,46.2,0
1.51,FSM Enemy 4,FSM,PatrolState,None,0.90,47.3,0
1.51,FSM Enemy 6,FSM,PatrolState,None,0.90,31.6,0
1.51,FSM Enemy 7,FSM,PatrolState,None,1.00,25.2,0
1.51,FSM Enemy 3,FSM,PatrolState,None,0.90,79.2,0
1.51,FSM Enemy 5,FSM,PatrolState,None,1.00,68.9,0
1.51,FSM Enemy 8,FSM,PatrolState,None,1.00,46.0,0
1.51,FSM Enemy 9,FSM,PatrolState,None,1.00,33.1,0
1.51,FSM Enemy 11,FSM,PatrolState,None,0.90,39.2,0
1.51,FSM Enemy 2,FSM,PatrolState,None,1.00,91.0,0
1.51,FSM Enemy 10,FSM,PatrolState,None,1.00,68.4,0
1.51,FSM Enemy 1,FSM,PatrolState,None,1.00,91.9,0
1.51,FSM Enemy 14,FSM,PatrolState,None,1.00,77.8,0
1.51,Utility Enemy 9,Utility,AttackAction,None,1.00,44.6,0
1.51,Utility Enemy 10,Utility,AttackAction,None,1.00,30.2,0
1.51,Utility Enemy 12,Utility,AttackAction,None,1.00,33.7,0
1.51,Utility Enemy 6,Utility,AttackAction,None,1.00,42.0,0
1.51,Utility Enemy 1,Utility,AttackAction,None,1.00,84.4,0
1.51,Utility Enemy 7,Utility,AttackAction,None,1.00,42.0,0
1.51,Utility Enemy 11,Utility,AttackAction,None,1.00,33.7,0
1.51,Utility Enemy 13,Utility,AttackAction,None,1.00,50.6,0
1.51,Utility Enemy 15,Utility,AttackAction,None,1.00,80.1,0
1.51,Utility Enemy 5,Utility,AttackAction,None,1.00,84.0,0
1.51,Utility Enemy 2,Utility,AttackAction,None,1.00,84.4,0
1.51,Utility Enemy 8,Utility,AttackAction,None,1.00,77.4,0
1.51,Utility Enemy 4,Utility,AttackAction,None,1.00,62.9,0
1.51,Utility Enemy 14,Utility,AttackAction,None,1.00,50.6,0
1.51,Utility Enemy 3,Utility,AttackAction,None,1.00,62.9,0
2.02,Player,Player,-,None,1.00,,0
2.02,FSM Enemy 12,FSM,PatrolState,None,1.00,34.2,0
2.02,FSM Enemy 15,FSM,PatrolState,None,1.00,28.5,0
2.02,FSM Enemy 13,FSM,PatrolState,None,1.00,46.3,0
2.02,FSM Enemy 4,FSM,PatrolState,None,0.90,47.4,0
2.02,FSM Enemy 6,FSM,PatrolState,None,0.80,33.5,0
2.02,FSM Enemy 7,FSM,PatrolState,None,1.00,24.8,0
2.02,FSM Enemy 3,FSM,PatrolState,None,0.90,78.0,0
2.02,FSM Enemy 5,FSM,PatrolState,None,1.00,68.3,0
2.02,FSM Enemy 8,FSM,PatrolState,None,1.00,45.1,0
2.02,FSM Enemy 9,FSM,PatrolState,None,1.00,33.0,0
2.02,FSM Enemy 11,FSM,PatrolState,None,0.90,39.0,0
2.02,FSM Enemy 2,FSM,PatrolState,None,1.00,91.8,0
2.02,FSM Enemy 10,FSM,PatrolState,None,1.00,68.2,0
2.02,FSM Enemy 1,FSM,PatrolState,None,1.00,92.3,0
2.02,FSM Enemy 14,FSM,PatrolState,None,1.00,79.0,0
2.02,Utility Enemy 9,Utility,AttackAction,None,1.00,45.2,0
