time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer,playerHealth,damageDealt,topUtilityScore,secondScore,seed
0.00,Player,Player,-,None,1.00,,0,1.00,,,,1216589078
0.00,FSM Enemy 15,FSM,PatrolState,None,1.00,28.5,0,1.00,0,,,1216589078
0.00,FSM Enemy 1,FSM,PatrolState,None,1.00,89.4,0,1.00,0,,,1216589078
0.00,FSM Enemy 2,FSM,PatrolState,None,1.00,89.4,0,1.00,0,,,1216589078
0.00,FSM Enemy 12,FSM,PatrolState,None,1.00,38.1,0,1.00,0,,,1216589078
0.00,FSM Enemy 13,FSM,PatrolState,None,1.00,49.2,0,1.00,0,,,1216589078
0.00,FSM Enemy 7,FSM,PatrolState,None,1.00,28.1,0,1.00,0,,,1216589078
0.00,FSM Enemy 8,FSM,PatrolState,None,1.00,48.1,0,1.00,0,,,1216589078
0.00,FSM Enemy 4,FSM,PatrolState,None,1.00,48.9,0,1.00,0,,,1216589078
0.00,FSM Enemy 10,FSM,PatrolState,None,1.00,66.4,0,1.00,0,,,1216589078
0.00,FSM Enemy 11,FSM,PatrolState,None,1.00,37.9,0,1.00,0,,,1216589078
0.00,FSM Enemy 14,FSM,PatrolState,None,1.00,75.0,0,1.00,0,,,1216589078
0.00,FSM Enemy 9,FSM,PatrolState,None,1.00,33.4,0,1.00,0,,,1216589078
0.00,FSM Enemy 6,FSM,PatrolState,None,1.00,28.1,0,1.00,0,,,1216589078
0.00,FSM Enemy 5,FSM,PatrolState,None,1.00,69.3,0,1.00,0,,,1216589078
0.00,FSM Enemy 3,FSM,PatrolState,None,1.00,82.0,0,1.00,0,,,1216589078
0.00,Utility Enemy 8,Utility,PatrolAction,None,1.00,77.4,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 15,Utility,PatrolAction,None,1.00,80.1,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 3,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 13,Utility,PatrolAction,None,1.00,50.6,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 9,Utility,PatrolAction,None,1.00,44.6,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 4,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 10,Utility,PatrolAction,None,1.00,30.2,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 6,Utility,PatrolAction,None,1.00,42.0,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 12,Utility,PatrolAction,None,1.00,33.7,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 14,Utility,PatrolAction,None,1.00,50.6,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 11,Utility,PatrolAction,None,1.00,33.7,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 5,Utility,PatrolAction,None,1.00,84.0,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 7,Utility,PatrolAction,None,1.00,42.0,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 1,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,1216589078
0.00,Utility Enemy 2,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,1216589078
1.00,Player,Player,-,None,1.00,,0,1.00,,,,1216589078
1.00,FSM Enemy 15,FSM,PatrolState,None,1.00,30.6,0,1.00,0,,,1216589078
1.00,FSM Enemy 1,FSM,PatrolState,None,1.00,88.4,0,1.00,0,,,1216589078
1.00,FSM Enemy 2,FSM,PatrolState,None,1.00,87.3,0,1.00,0,,,1216589078
1.00,FSM Enemy 12,FSM,PatrolState,None,1.00,35.2,0,1.00,0,,,1216589078
1.00,FSM Enemy 13,FSM,PatrolState,None,1.00,50.3,0,1.00,0,,,1216589078
1.00,FSM Enemy 7,FSM,PatrolState,None,1.00,30.1,0,1.00,0,,,1216589078
1.00,FSM Enemy 8,FSM,PatrolState,None,1.00,45.5,0,1.00,0,,,1216589078
1.00,FSM Enemy 4,FSM,PatrolState,None,1.00,47.5,0,1.00,0,,,1216589078
1.00,FSM Enemy 10,FSM,PatrolState,None,1.00,63.1,0,1.00,0,,,1216589078
1.00,FSM Enemy 11,FSM,PatrolState,None,1.00,37.5,0,1.00,0,,,1216589078
1.00,FSM Enemy 14,FSM,PatrolState,None,1.00,72.1,0,1.00,0,,,1216589078
1.00,FSM Enemy 9,FSM,PatrolState,None,1.00,33.6,0,1.00,0,,,1216589078
1.00,FSM Enemy 6,FSM,PatrolState,None,1.00,27.7,0,1.00,0,,,1216589078
1.00,FSM Enemy 5,FSM,PatrolState,None,1.00,71.2,0,1.00,0,,,1216589078
1.00,FSM Enemy 3,FSM,PatrolState,None,1.00,82.0,0,1.00,0,,,1216589078
1.00,Utility Enemy 8,Utility,PatrolAction,None,1.00,79.8,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 15,Utility,PatrolAction,None,1.00,75.8,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 3,Utility,PatrolAction,None,1.00,61.6,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 13,Utility,PatrolAction,None,1.00,51.1,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 9,Utility,PatrolAction,None,1.00,41.0,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 4,Utility,PatrolAction,None,1.00,64.7,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 10,Utility,PatrolAction,None,1.00,27.1,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 6,Utility,PatrolAction,None,1.00,40.1,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 12,Utility,PatrolAction,None,1.00,34.8,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 14,Utility,PatrolAction,None,1.00,48.7,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 11,Utility,PatrolAction,None,1.00,34.2,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 5,Utility,PatrolAction,None,1.00,82.0,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 7,Utility,PatrolAction,None,1.00,37.2,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 1,Utility,PatrolAction,None,1.00,81.2,0,1.00,0,0.120,0.000,1216589078
1.00,Utility Enemy 2,Utility,PatrolAction,None,1.00,79.2,0,1.00,0,0.120,0.000,1216589078
2.00,Player,Player,-,WallDisappear,1.00,,0,1.00,,,,1216589078
2.00,FSM Enemy 15,FSM,ChaseState,WallDisappear,1.00,38.1,0,1.00,0,,,1216589078
2.00,FSM Enemy 1,FSM,ChaseState,WallDisappear,1.00,93.0,0,1.00,0,,,1216589078
2.00,FSM Enemy 2,FSM,ChaseState,WallDisappear,1.00,89.1,0,1.00,0,,,1216589078
2.00,FSM Enemy 12,FSM,ChaseState,WallDisappear,1.00,31.0,0,1.00,0,,,1216589078
2.00,FSM Enemy 13,FSM,ChaseState,WallDisappear,1.00,54.0,0,1.00,0,,,1216589078
2.00,FSM Enemy 7,FSM,ChaseState,WallDisappear,1.00,33.6,0,1.00,0,,,1216589078
2.00,FSM Enemy 8,FSM,ChaseState,WallDisappear,1.00,48.3,0,1.00,0,,,1216589078
2.00,FSM Enemy 4,FSM,ChaseState,WallDisappear,1.00,47.3,0,1.00,0,,,1216589078
2.00,FSM Enemy 10,FSM,ChaseState,WallDisappear,1.00,64.5,0,1.00,0,,,1216589078
2.00,FSM Enemy 11,FSM,ChaseState,WallDisappear,1.00,39.5,0,1.00,0,,,1216589078
2.00,FSM Enemy 14,FSM,ChaseState,WallDisappear,1.00,71.8,0,1.00,0,,,1216589078
2.00,FSM Enemy 9,FSM,ChaseState,WallDisappear,1.00,39.1,0,1.00,0,,,1216589078
2.00,FSM Enemy 6,FSM,ChaseState,WallDisappear,1.00,23.8,0,1.00,0,,,1216589078
2.00,FSM Enemy 5,FSM,ChaseState,WallDisappear,1.00,78.1,0,1.00,0,,,1216589078
2.00,FSM Enemy 3,FSM,ChaseState,WallDisappear,1.00,87.1,0,1.00,0,,,1216589078
2.00,Utility Enemy 8,Utility,ChaseAction,WallDisappear,1.00,86.4,0,1.00,0,0.850,0.300,1216589078
2.00,Utility Enemy 15,Utility,ChaseAction,WallDisappear,1.00,78.5,0,1.00,0,0.850,0.300,1216589078
2.00,Utility Enemy 3,Utility,ChaseAction,WallDisappear,1.00,60.6,0,1.00,0,0.850,0.300,1216589078
2.00,Utility Enemy 13,Utility,ChaseAction,WallDisappear,1.00,57.4,0,1.00,0,0.850,0.300,1216589078
2.00,Utility Enemy 9,Utility,ChaseAction,WallDisappear,1.00,38.0,0,1.00,0,0.850,0.300,1216589078
2.00,Utility Enemy 4,Utility,ChaseAction,WallDisappear,1.00,70.7,0,1.00,0,0.850,0.300,1216589078
2.00,Utility Enemy 10,Utility,ChaseAction,WallDisappear,1.00,22.5,0,1.00,0,0.850,0.300,1216589078
