time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer,playerHealth,damageDealt,topUtilityScore,secondScore,seed
0.00,Player,Player,-,None,1.00,,0,1.00,,,,83188062
0.00,FSM Enemy 1,FSM,PatrolState,None,1.00,89.4,0,1.00,0,,,83188062
0.00,FSM Enemy 14,FSM,PatrolState,None,1.00,75.0,0,1.00,0,,,83188062
0.00,FSM Enemy 13,FSM,PatrolState,None,1.00,49.2,0,1.00,0,,,83188062
0.00,FSM Enemy 3,FSM,PatrolState,None,1.00,82.0,0,1.00,0,,,83188062
0.00,FSM Enemy 2,FSM,PatrolState,None,1.00,89.4,0,1.00,0,,,83188062
0.00,FSM Enemy 6,FSM,PatrolState,None,1.00,28.1,0,1.00,0,,,83188062
0.00,FSM Enemy 9,FSM,PatrolState,None,1.00,33.4,0,1.00,0,,,83188062
0.00,FSM Enemy 11,FSM,PatrolState,None,1.00,37.9,0,1.00,0,,,83188062
0.00,FSM Enemy 4,FSM,PatrolState,None,1.00,48.9,0,1.00,0,,,83188062
0.00,FSM Enemy 15,FSM,PatrolState,None,1.00,28.5,0,1.00,0,,,83188062
0.00,FSM Enemy 8,FSM,PatrolState,None,1.00,48.1,0,1.00,0,,,83188062
0.00,FSM Enemy 12,FSM,PatrolState,None,1.00,38.1,0,1.00,0,,,83188062
0.00,FSM Enemy 10,FSM,PatrolState,None,1.00,66.4,0,1.00,0,,,83188062
0.00,FSM Enemy 7,FSM,PatrolState,None,1.00,28.1,0,1.00,0,,,83188062
0.00,FSM Enemy 5,FSM,PatrolState,None,1.00,69.3,0,1.00,0,,,83188062
0.00,Utility Enemy 1,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 11,Utility,PatrolAction,None,1.00,33.7,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 3,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 15,Utility,PatrolAction,None,1.00,80.1,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 12,Utility,PatrolAction,None,1.00,33.7,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 7,Utility,PatrolAction,None,1.00,42.0,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 4,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 9,Utility,PatrolAction,None,1.00,44.6,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 14,Utility,PatrolAction,None,1.00,50.6,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 2,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 8,Utility,PatrolAction,None,1.00,77.4,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 5,Utility,PatrolAction,None,1.00,84.0,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 13,Utility,PatrolAction,None,1.00,50.6,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 10,Utility,PatrolAction,None,1.00,30.2,0,1.00,0,0.120,0.000,83188062
0.00,Utility Enemy 6,Utility,PatrolAction,None,1.00,42.0,0,1.00,0,0.120,0.000,83188062
1.01,Player,Player,-,None,1.00,,0,1.00,,,,83188062
1.01,FSM Enemy 1,FSM,PatrolState,None,1.00,87.5,0,1.00,0,,,83188062
1.01,FSM Enemy 14,FSM,PatrolState,None,1.00,69.9,0,1.00,0,,,83188062
1.01,FSM Enemy 13,FSM,PatrolState,None,1.00,46.4,0,1.00,0,,,83188062
1.01,FSM Enemy 3,FSM,PatrolState,None,1.00,80.9,0,1.00,0,,,83188062
1.01,FSM Enemy 2,FSM,PatrolState,None,1.00,84.9,0,1.00,0,,,83188062
1.01,FSM Enemy 6,FSM,PatrolState,None,1.00,27.5,0,1.00,0,,,83188062
1.01,FSM Enemy 9,FSM,PatrolState,None,1.00,28.9,0,1.00,0,,,83188062
1.01,FSM Enemy 11,FSM,PatrolState,None,1.00,39.7,0,1.00,0,,,83188062
1.01,FSM Enemy 4,FSM,PatrolState,None,1.00,45.4,0,1.00,0,,,83188062
1.01,FSM Enemy 15,FSM,PatrolState,None,1.00,25.9,0,1.00,0,,,83188062
1.01,FSM Enemy 8,FSM,PatrolState,None,1.00,47.4,0,1.00,0,,,83188062
1.01,FSM Enemy 12,FSM,PatrolState,None,1.00,35.3,0,1.00,0,,,83188062
1.01,FSM Enemy 10,FSM,PatrolState,None,1.00,63.4,0,1.00,0,,,83188062
1.01,FSM Enemy 7,FSM,PatrolState,None,1.00,30.3,0,1.00,0,,,83188062
1.01,FSM Enemy 5,FSM,PatrolState,None,1.00,69.5,0,1.00,0,,,83188062
1.01,Utility Enemy 1,Utility,PatrolAction,None,1.00,79.7,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 11,Utility,PatrolAction,None,1.00,33.3,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 3,Utility,PatrolAction,None,1.00,59.9,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 15,Utility,PatrolAction,None,1.00,81.2,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 12,Utility,PatrolAction,None,1.00,29.1,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 7,Utility,PatrolAction,None,1.00,38.2,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 4,Utility,PatrolAction,None,1.00,63.0,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 9,Utility,PatrolAction,None,1.00,40.3,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 14,Utility,PatrolAction,None,1.00,47.7,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 2,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 8,Utility,PatrolAction,None,1.00,72.5,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 5,Utility,PatrolAction,None,1.00,82.1,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 13,Utility,PatrolAction,None,1.00,48.4,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 10,Utility,PatrolAction,None,1.00,32.5,0,1.00,0,0.120,0.000,83188062
1.01,Utility Enemy 6,Utility,PatrolAction,None,1.00,44.6,0,1.00,0,0.120,0.000,83188062
2.01,Player,Player,-,None,1.00,,0,1.00,,,,83188062
2.01,FSM Enemy 1,FSM,PatrolState,None,1.00,87.4,0,1.00,0,,,83188062
2.01,FSM Enemy 14,FSM,PatrolState,None,1.00,63.1,0,1.00,0,,,83188062
2.01,FSM Enemy 13,FSM,PatrolState,None,1.00,45.3,0,1.00,0,,,83188062
2.01,FSM Enemy 3,FSM,PatrolState,None,1.00,79.6,0,1.00,0,,,83188062
2.01,FSM Enemy 2,FSM,PatrolState,None,1.00,78.7,0,1.00,0,,,83188062
2.01,FSM Enemy 6,FSM,PatrolState,None,1.00,24.9,0,1.00,0,,,83188062
2.01,FSM Enemy 9,FSM,PatrolState,None,1.00,23.5,0,1.00,0,,,83188062
2.01,FSM Enemy 11,FSM,PatrolState,None,1.00,44.2,0,1.00,0,,,83188062
2.01,FSM Enemy 4,FSM,PatrolState,None,1.00,40.1,0,1.00,0,,,83188062
2.01,FSM Enemy 15,FSM,PatrolState,None,1.00,24.8,0,1.00,0,,,83188062
2.01,FSM Enemy 8,FSM,PatrolState,None,1.00,46.9,0,1.00,0,,,83188062
2.01,FSM Enemy 12,FSM,PatrolState,None,1.00,30.6,0,1.00,0,,,83188062
2.01,FSM Enemy 10,FSM,PatrolState,None,1.00,59.4,0,1.00,0,,,83188062
2.01,FSM Enemy 7,FSM,PatrolState,None,1.00,33.9,0,1.00,0,,,83188062
2.01,FSM Enemy 5,FSM,PatrolState,None,1.00,70.8,0,1.00,0,,,83188062
2.01,Utility Enemy 1,Utility,PatrolAction,None,1.00,74.6,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 11,Utility,PatrolAction,None,1.00,34.6,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 3,Utility,PatrolAction,None,1.00,55.8,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 15,Utility,PatrolAction,None,1.00,83.6,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 12,Utility,PatrolAction,None,1.00,22.6,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 7,Utility,PatrolAction,None,1.00,31.9,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 4,Utility,PatrolAction,None,1.00,63.1,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 9,Utility,PatrolAction,None,1.00,33.1,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 14,Utility,PatrolAction,None,1.00,44.7,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 2,Utility,PatrolAction,None,1.00,83.3,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 8,Utility,PatrolAction,None,1.00,72.4,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 5,Utility,PatrolAction,None,1.00,80.5,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 13,Utility,PatrolAction,None,1.00,48.9,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 10,Utility,PatrolAction,None,1.00,33.1,0,1.00,0,0.120,0.000,83188062
2.01,Utility Enemy 6,Utility,PatrolAction,None,1.00,51.0,0,1.00,0,0.120,0.000,83188062
3.01,Player,Player,-,None,1.00,,0,1.00,,,,83188062
3.01,FSM Enemy 1,FSM,PatrolState,None,1.00,83.6,0,1.00,0,,,83188062
3.01,FSM Enemy 14,FSM,PatrolState,None,1.00,57.2,0,1.00,0,,,83188062
3.01,FSM Enemy 13,FSM,PatrolState,None,1.00,42.8,0,1.00,0,,,83188062
3.01,FSM Enemy 3,FSM,PatrolState,None,1.00,74.3,0,1.00,0,,,83188062
3.01,FSM Enemy 2,FSM,PatrolState,None,1.00,70.8,0,1.00,0,,,83188062
3.01,FSM Enemy 6,FSM,PatrolState,None,1.00,26.2,0,1.00,0,,,83188062
3.01,FSM Enemy 9,FSM,PatrolState,None,1.00,15.8,0,1.00,0,,,83188062
3.01,FSM Enemy 11,FSM,PatrolState,None,1.00,47.0,0,1.00,0,,,83188062
3.01,FSM Enemy 4,FSM,PatrolState,None,1.00,37.9,0,1.00,0,,,83188062
3.01,FSM Enemy 15,FSM,PatrolState,None,1.00,20.8,0,1.00,0,,,83188062
3.01,FSM Enemy 8,FSM,PatrolState,None,1.00,42.0,0,1.00,0,,,83188062
3.01,FSM Enemy 12,FSM,PatrolState,None,1.00,29.8,0,1.00,0,,,83188062
3.01,FSM Enemy 10,FSM,PatrolState,None,1.00,53.2,0,1.00,0,,,83188062
3.01,FSM Enemy 7,FSM,PatrolState,None,1.00,37.6,0,1.00,0,,,83188062
