time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer
0,Player,Player,-,None,1,,0
0,FSM Enemy 4,FSM,PatrolState,None,1,48.9,0
0,FSM Enemy 3,FSM,PatrolState,None,0.9,82,0
0,FSM Enemy 14,FSM,PatrolState,None,1,75,0
0,FSM Enemy 13,FSM,PatrolState,None,1,49.2,0
0,FSM Enemy 12,FSM,PatrolState,None,1,38.1,0
0,FSM Enemy 10,FSM,PatrolState,None,1,66.4,0
0,FSM Enemy 7,FSM,PatrolState,None,1,28.1,0
0,FSM Enemy 8,FSM,PatrolState,None,1,48.1,0
0,FSM Enemy 9,FSM,PatrolState,None,1,33.4,0
0,FSM Enemy 2,FSM,PatrolState,None,1,89.4,0
0,FSM Enemy 11,FSM,PatrolState,None,1,37.9,0
0,FSM Enemy 15,FSM,PatrolState,None,1,28.5,0
0,FSM Enemy 1,FSM,PatrolState,None,1,89.4,0
0,FSM Enemy 6,FSM,PatrolState,None,1,28.1,0
0,FSM Enemy 5,FSM,PatrolState,None,1,69.3,0
0,Utility Enemy 8,Utility,AttackAction,None,1,77.4,0
0,Utility Enemy 15,Utility,AttackAction,None,1,80.1,0
0,Utility Enemy 6,Utility,AttackAction,None,1,42,0
0,Utility Enemy 1,Utility,AttackAction,None,1,84.4,0
0,Utility Enemy 11,Utility,AttackAction,None,1,33.7,0
0,Utility Enemy 2,Utility,AttackAction,None,1,84.4,0
0,Utility Enemy 5,Utility,AttackAction,None,1,84,0
0,Utility Enemy 4,Utility,AttackAction,None,1,62.9,0
0,Utility Enemy 7,Utility,AttackAction,None,1,42,0
0,Utility Enemy 3,Utility,AttackAction,None,1,62.9,0
0,Utility Enemy 13,Utility,AttackAction,None,1,50.6,0
0,Utility Enemy 12,Utility,AttackAction,None,1,33.7,0
0,Utility Enemy 14,Utility,AttackAction,None,1,50.6,0
0,Utility Enemy 10,Utility,AttackAction,None,1,30.2,0
0,Utility Enemy 9,Utility,AttackAction,None,1,44.6,0
0.5,Player,Player,-,None,1,,0
0.5,FSM Enemy 4,FSM,PatrolState,None,1,49.7,0
0.5,FSM Enemy 3,FSM,PatrolState,None,0.9,82.7,0
0.5,FSM Enemy 14,FSM,PatrolState,None,1,74.6,0
0.5,FSM Enemy 13,FSM,PatrolState,None,1,48.5,0
0.5,FSM Enemy 12,FSM,PatrolState,None,1,38.3,0
0.5,FSM Enemy 10,FSM,PatrolState,None,1,67.4,0
0.5,FSM Enemy 7,FSM,PatrolState,None,1,28.6,0
0.5,FSM Enemy 8,FSM,PatrolState,None,1,47.8,0
0.5,FSM Enemy 9,FSM,PatrolState,None,1,34.3,0
0.5,FSM Enemy 2,FSM,PatrolState,None,1,88.9,0
0.5,FSM Enemy 11,FSM,PatrolState,None,1,37.2,0
0.5,FSM Enemy 15,FSM,PatrolState,None,1,28.5,0
0.5,FSM Enemy 1,FSM,PatrolState,None,1,90,0
0.5,FSM Enemy 6,FSM,PatrolState,None,1,27.1,0
0.5,FSM Enemy 5,FSM,PatrolState,None,1,69.1,0
0.5,Utility Enemy 8,Utility,AttackAction,None,1,77.4,0
0.5,Utility Enemy 15,Utility,AttackAction,None,1,80.1,0
0.5,Utility Enemy 6,Utility,AttackAction,None,1,42,0
0.5,Utility Enemy 1,Utility,AttackAction,None,1,84.4,0
0.5,Utility Enemy 11,Utility,AttackAction,None,1,33.7,0
0.5,Utility Enemy 2,Utility,AttackAction,None,1,84.4,0
0.5,Utility Enemy 5,Utility,AttackAction,None,1,84,0
0.5,Utility Enemy 4,Utility,AttackAction,None,1,62.9,0
0.5,Utility Enemy 7,Utility,AttackAction,None,1,42,0
0.5,Utility Enemy 3,Utility,AttackAction,None,1,62.9,0
0.5,Utility Enemy 13,Utility,AttackAction,None,1,50.6,0
0.5,Utility Enemy 12,Utility,AttackAction,None,1,33.7,0
0.5,Utility Enemy 14,Utility,AttackAction,None,1,50.6,0
0.5,Utility Enemy 10,Utility,AttackAction,None,1,30.2,0
0.5,Utility Enemy 9,Utility,AttackAction,None,1,44.6,0
1,Player,Player,-,None,1,,0
1,FSM Enemy 4,FSM,PatrolState,None,1,50.7,0
1,FSM Enemy 3,FSM,PatrolState,None,0.9,83.7,0
1,FSM Enemy 14,FSM,PatrolState,None,1,74,0
1,FSM Enemy 13,FSM,PatrolState,None,1,47.5,0
1,FSM Enemy 12,FSM,PatrolState,None,1,38.9,0
1,FSM Enemy 10,FSM,PatrolState,None,1,68.7,0
1,FSM Enemy 7,FSM,PatrolState,None,1,29.3,0
1,FSM Enemy 8,FSM,PatrolState,None,1,47.5,0
1,FSM Enemy 9,FSM,PatrolState,None,1,35.4,0
1,FSM Enemy 2,FSM,PatrolState,None,1,88.1,0
1,FSM Enemy 11,FSM,PatrolState,None,1,36.3,0
1,FSM Enemy 15,FSM,PatrolState,None,1,28.6,0
1,FSM Enemy 1,FSM,PatrolState,None,1,90.8,0
1,FSM Enemy 6,FSM,PatrolState,None,1,25.8,0
1,FSM Enemy 5,FSM,PatrolState,None,1,68.8,0
1,Utility Enemy 8,Utility,AttackAction,None,1,77.4,0
1,Utility Enemy 15,Utility,AttackAction,None,1,80.1,0
1,Utility Enemy 6,Utility,AttackAction,None,1,42,0
1,Utility Enemy 1,Utility,AttackAction,None,1,84.4,0
1,Utility Enemy 11,Utility,AttackAction,None,1,33.7,0
1,Utility Enemy 2,Utility,AttackAction,None,1,84.4,0
1,Utility Enemy 5,Utility,AttackAction,None,1,84,0
1,Utility Enemy 4,Utility,AttackAction,None,1,62.9,0
1,Utility Enemy 7,Utility,AttackAction,None,1,42,0
1,Utility Enemy 3,Utility,AttackAction,None,1,62.9,0
1,Utility Enemy 13,Utility,AttackAction,None,1,50.6,0
1,Utility Enemy 12,Utility,AttackAction,None,1,33.7,0
1,Utility Enemy 14,Utility,AttackAction,None,1,50.6,0
1,Utility Enemy 10,Utility,AttackAction,None,1,30.2,0
1,Utility Enemy 9,Utility,AttackAction,None,1,44.6,0
1.5,Player,Player,-,None,1,,0
