time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer,playerHealth,damageDealt,topUtilityScore,secondScore,seed
0.00,Player,Player,-,None,1.00,,0,1.00,,,,83378265
0.00,FSM Enemy 2,FSM,PatrolState,None,1.00,89.4,0,1.00,0,,,83378265
0.00,FSM Enemy 15,FSM,PatrolState,None,1.00,28.5,0,1.00,0,,,83378265
0.00,FSM Enemy 14,FSM,PatrolState,None,1.00,75.0,0,1.00,0,,,83378265
0.00,FSM Enemy 3,FSM,PatrolState,None,1.00,82.0,0,1.00,0,,,83378265
0.00,FSM Enemy 5,FSM,PatrolState,None,1.00,69.3,0,1.00,0,,,83378265
0.00,FSM Enemy 13,FSM,PatrolState,None,1.00,49.2,0,1.00,0,,,83378265
0.00,FSM Enemy 12,FSM,PatrolState,None,1.00,38.1,0,1.00,0,,,83378265
0.00,FSM Enemy 8,FSM,PatrolState,None,1.00,48.1,0,1.00,0,,,83378265
0.00,FSM Enemy 1,FSM,PatrolState,None,1.00,89.4,0,1.00,0,,,83378265
0.00,FSM Enemy 4,FSM,PatrolState,None,1.00,48.9,0,1.00,0,,,83378265
0.00,FSM Enemy 7,FSM,PatrolState,None,1.00,28.1,0,1.00,0,,,83378265
0.00,FSM Enemy 11,FSM,PatrolState,None,1.00,37.9,0,1.00,0,,,83378265
0.00,FSM Enemy 6,FSM,PatrolState,None,1.00,28.1,0,1.00,0,,,83378265
0.00,FSM Enemy 10,FSM,PatrolState,None,1.00,66.4,0,1.00,0,,,83378265
0.00,FSM Enemy 9,FSM,PatrolState,None,1.00,33.4,0,1.00,0,,,83378265
0.00,Utility Enemy 14,Utility,PatrolAction,None,1.00,50.6,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 8,Utility,PatrolAction,None,1.00,77.4,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 3,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 7,Utility,PatrolAction,None,1.00,42.0,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 12,Utility,PatrolAction,None,1.00,33.7,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 15,Utility,PatrolAction,None,1.00,80.1,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 1,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 5,Utility,PatrolAction,None,1.00,84.0,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 13,Utility,PatrolAction,None,1.00,50.6,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 6,Utility,PatrolAction,None,1.00,42.0,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 4,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 10,Utility,PatrolAction,None,1.00,30.2,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 11,Utility,PatrolAction,None,1.00,33.7,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 9,Utility,PatrolAction,None,1.00,44.6,0,1.00,0,0.120,0.000,83378265
0.00,Utility Enemy 2,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,83378265
1.00,Player,Player,-,None,1.00,,0,1.00,,,,83378265
1.00,FSM Enemy 2,FSM,PatrolState,None,1.00,87.8,0,1.00,0,,,83378265
1.00,FSM Enemy 15,FSM,PatrolState,None,1.00,26.1,0,1.00,0,,,83378265
1.00,FSM Enemy 14,FSM,PatrolState,None,1.00,75.5,0,1.00,0,,,83378265
1.00,FSM Enemy 3,FSM,PatrolState,None,1.00,80.6,0,1.00,0,,,83378265
1.00,FSM Enemy 5,FSM,PatrolState,None,1.00,71.5,0,1.00,0,,,83378265
1.00,FSM Enemy 13,FSM,PatrolState,None,1.00,46.9,0,1.00,0,,,83378265
1.00,FSM Enemy 12,FSM,PatrolState,None,1.00,38.7,0,1.00,0,,,83378265
1.00,FSM Enemy 8,FSM,PatrolState,None,1.00,47.4,0,1.00,0,,,83378265
1.00,FSM Enemy 1,FSM,PatrolState,None,1.00,87.9,0,1.00,0,,,83378265
1.00,FSM Enemy 4,FSM,PatrolState,None,1.00,49.6,0,1.00,0,,,83378265
1.00,FSM Enemy 7,FSM,PatrolState,None,1.00,29.4,0,1.00,0,,,83378265
1.00,FSM Enemy 11,FSM,PatrolState,None,1.00,35.6,0,1.00,0,,,83378265
1.00,FSM Enemy 6,FSM,PatrolState,None,1.00,29.9,0,1.00,0,,,83378265
1.00,FSM Enemy 10,FSM,PatrolState,None,1.00,68.4,0,1.00,0,,,83378265
1.00,FSM Enemy 9,FSM,PatrolState,None,1.00,31.8,0,1.00,0,,,83378265
1.00,Utility Enemy 14,Utility,PatrolAction,None,1.00,50.5,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 8,Utility,PatrolAction,None,1.00,80.1,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 3,Utility,PatrolAction,None,1.00,62.2,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 7,Utility,PatrolAction,None,1.00,39.1,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 12,Utility,PatrolAction,None,1.00,36.3,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 15,Utility,PatrolAction,None,1.00,82.5,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 1,Utility,PatrolAction,None,1.00,83.7,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 5,Utility,PatrolAction,None,1.00,83.4,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 13,Utility,PatrolAction,None,1.00,52.4,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 6,Utility,PatrolAction,None,1.00,38.8,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 4,Utility,PatrolAction,None,1.00,60.7,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 10,Utility,PatrolAction,None,1.00,32.4,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 11,Utility,PatrolAction,None,1.00,30.2,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 9,Utility,PatrolAction,None,1.00,46.9,0,1.00,0,0.120,0.000,83378265
1.00,Utility Enemy 2,Utility,PatrolAction,None,1.00,85.9,0,1.00,0,0.120,0.000,83378265
2.01,Player,Player,-,None,1.00,,0,1.00,,,,83378265
2.01,FSM Enemy 2,FSM,PatrolState,None,1.00,85.7,0,1.00,0,,,83378265
2.01,FSM Enemy 15,FSM,PatrolState,None,1.00,19.7,0,1.00,0,,,83378265
2.01,FSM Enemy 14,FSM,PatrolState,None,1.00,79.0,0,1.00,0,,,83378265
2.01,FSM Enemy 3,FSM,PatrolState,None,1.00,79.6,0,1.00,0,,,83378265
2.01,FSM Enemy 5,FSM,PatrolState,None,1.00,70.5,0,1.00,0,,,83378265
2.01,FSM Enemy 13,FSM,PatrolState,None,1.00,40.5,0,1.00,0,,,83378265
2.01,FSM Enemy 12,FSM,PatrolState,None,1.00,44.9,0,1.00,0,,,83378265
2.01,FSM Enemy 8,FSM,PatrolState,None,1.00,44.5,0,1.00,0,,,83378265
2.01,FSM Enemy 1,FSM,PatrolState,None,1.00,83.4,0,1.00,0,,,83378265
2.01,FSM Enemy 4,FSM,PatrolState,None,1.00,52.8,0,1.00,0,,,83378265
2.01,FSM Enemy 7,FSM,PatrolState,None,1.00,25.1,0,1.00,0,,,83378265
2.01,FSM Enemy 11,FSM,PatrolState,None,1.00,29.4,0,1.00,0,,,83378265
2.01,FSM Enemy 6,FSM,PatrolState,None,1.00,35.7,0,1.00,0,,,83378265
2.01,FSM Enemy 10,FSM,PatrolState,None,1.00,70.5,0,1.00,0,,,83378265
2.01,FSM Enemy 9,FSM,PatrolState,None,1.00,29.5,0,1.00,0,,,83378265
2.01,Utility Enemy 14,Utility,PatrolAction,None,1.00,57.0,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 8,Utility,PatrolAction,None,1.00,79.3,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 3,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 7,Utility,PatrolAction,None,1.00,41.2,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 12,Utility,PatrolAction,None,1.00,42.9,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 15,Utility,PatrolAction,None,1.00,79.4,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 1,Utility,PatrolAction,None,1.00,80.6,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 5,Utility,PatrolAction,None,1.00,81.2,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 13,Utility,PatrolAction,None,1.00,47.1,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 6,Utility,PatrolAction,None,1.00,32.2,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 4,Utility,PatrolAction,None,1.00,54.9,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 10,Utility,PatrolAction,None,1.00,32.7,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 11,Utility,PatrolAction,None,1.00,22.1,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 9,Utility,PatrolAction,None,1.00,53.1,0,1.00,0,0.120,0.000,83378265
2.01,Utility Enemy 2,Utility,PatrolAction,None,1.00,88.0,0,1.00,0,0.120,0.000,83378265
3.01,Player,Player,-,None,0.95,,0,0.95,,,,83378265
3.01,FSM Enemy 2,FSM,PatrolState,None,1.00,89.6,0,0.95,0,,,83378265
3.01,FSM Enemy 15,FSM,PatrolState,None,1.00,17.3,0,0.95,0,,,83378265
3.01,FSM Enemy 14,FSM,PatrolState,None,1.00,87.3,0,0.95,0,,,83378265
3.01,FSM Enemy 3,FSM,PatrolState,None,1.00,84.1,0,0.95,0,,,83378265
3.01,FSM Enemy 5,FSM,PatrolState,None,1.00,72.8,0,0.95,0,,,83378265
3.01,FSM Enemy 13,FSM,PatrolState,None,1.00,35.0,0,0.95,0,,,83378265
3.01,FSM Enemy 12,FSM,PatrolState,None,1.00,52.6,0,0.95,0,,,83378265
3.01,FSM Enemy 8,FSM,PatrolState,None,1.00,45.6,0,0.95,0,,,83378265
3.01,FSM Enemy 1,FSM,PatrolState,None,1.00,83.3,0,0.95,0,,,83378265
3.01,FSM Enemy 4,FSM,PatrolState,None,1.00,58.6,0,0.95,0,,,83378265
3.01,FSM Enemy 7,FSM,AttackState,None,1.00,16.9,1,0.95,8,,,83378265
3.01,FSM Enemy 11,FSM,PatrolState,None,1.00,21.7,0,0.95,0,,,83378265
3.01,FSM Enemy 6,FSM,PatrolState,None,1.00,43.3,0,0.95,0,,,83378265
3.01,FSM Enemy 10,FSM,PatrolState,None,1.00,77.9,0,0.95,0,,,83378265
3.01,FSM Enemy 9,FSM,PatrolState,None,1.00,32.6,0,0.95,0,,,83378265
3.01,Utility Enemy 14,Utility,PatrolAction,None,1.00,67.5,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 8,Utility,PatrolAction,None,1.00,77.5,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 3,Utility,PatrolAction,None,1.00,67.4,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 7,Utility,PatrolAction,None,1.00,47.9,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 12,Utility,PatrolAction,None,1.00,53.0,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 15,Utility,PatrolAction,None,1.00,76.7,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 1,Utility,PatrolAction,None,1.00,84.9,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 5,Utility,PatrolAction,None,1.00,80.7,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 13,Utility,PatrolAction,None,1.00,39.3,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 6,Utility,PatrolAction,None,1.00,28.8,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 4,Utility,PatrolAction,None,1.00,52.1,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 10,Utility,PatrolAction,None,1.00,35.2,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 11,Utility,SpreadFireAction,None,1.00,14.7,1,0.95,0,0.175,0.142,83378265
3.01,Utility Enemy 9,Utility,PatrolAction,None,1.00,58.6,0,0.95,0,0.120,0.000,83378265
3.01,Utility Enemy 2,Utility,PatrolAction,None,1.00,94.0,0,0.95,0,0.120,0.000,83378265
4.01,Player,Player,-,None,0.95,,0,0.95,,,,83378265
4.01,FSM Enemy 2,FSM,PatrolState,None,1.00,92.7,0,0.95,0,,,83378265
4.01,FSM Enemy 15,FSM,PatrolState,None,1.00,16.3,0,0.95,0,,,83378265
4.01,FSM Enemy 14,FSM,PatrolState,None,1.00,92.2,0,0.95,0,,,83378265
4.01,FSM Enemy 3,FSM,PatrolState,None,1.00,85.9,0,0.95,0,,,83378265
4.01,FSM Enemy 5,FSM,PatrolState,None,1.00,72.8,0,0.95,0,,,83378265
4.01,FSM Enemy 13,FSM,PatrolState,None,1.00,29.6,0,0.95,0,,,83378265
4.01,FSM Enemy 12,FSM,PatrolState,None,1.00,56.9,0,0.95,0,,,83378265
4.01,FSM Enemy 8,FSM,PatrolState,None,1.00,44.3,0,0.95,0,,,83378265
4.01,FSM Enemy 1,FSM,PatrolState,None,1.00,82.0,0,0.95,0,,,83378265
4.01,FSM Enemy 4,FSM,PatrolState,None,1.00,62.4,0,0.95,0,,,83378265
4.01,FSM Enemy 7,FSM,AttackState,None,1.00,12.5,1,0.95,8,,,83378265
4.01,FSM Enemy 11,FSM,ChaseState,None,1.00,14.4,0,0.95,0,,,83378265
4.01,FSM Enemy 6,FSM,PatrolState,None,1.00,48.1,0,0.95,0,,,83378265
4.01,FSM Enemy 10,FSM,PatrolState,None,1.00,79.0,0,0.95,0,,,83378265
4.01,FSM Enemy 9,FSM,PatrolState,None,1.00,33.0,0,0.95,0,,,83378265
4.01,Utility Enemy 14,Utility,PatrolAction,None,1.00,71.4,0,0.95,0,0.120,0.000,83378265
4.01,Utility Enemy 8,Utility,PatrolAction,None,1.00,77.1,0,0.95,0,0.120,0.000,83378265
4.01,Utility Enemy 3,Utility,PatrolAction,None,1.00,68.6,0,0.95,0,0.120,0.000,83378265
